# P-values for the first sequence, p-values for the second sequence, matrix IDs, matrix names, and calculated 'Absolute difference log(p) for two sequences' from the norm file. The table is sorted form the highest to the lowest 'Absolute difference log(p) for two sequences'
#/ Rank	Absolute diff_log(p)_for_two_seqs	rs533722308-C	rs533722308-CT	Matrix_ID	Matrix_name
75	0.0191715957787443	0.194629998378181	0.20341425049088	M00145	V$BRN2_01
76	-0.0190598308153304	0.477741583720181	0.457228416887472	M01360	V$DBX2_01
77	-0.0185128512190622	0.159729995673112	0.153064200955496	M00742	V$HFH4_01
78	-0.0175431999565238	0.1930557006828	0.185412679569804	M00724	V$HNF3ALPHA_Q6
79	-0.0172227033217938	0.110787535312579	0.106480037990935	M01654	V$DRI1_01
80	-0.0170651898957755	0.185069329373894	0.177938228005517	M00131	V$HNF3B_01
81	0.0167125521001717	0.670197066318183	0.696490303452026	M01435	V$PSX1_01
82	-0.0166973945291682	0.653836219026143	0.629175177009388	M01332	V$BARHL1_01
83	-0.0166374772165142	0.17942325025826	0.172679682893858	M01292	V$HOXA13_01
84	-0.0166365260063617	0.0746964128911283	0.0718891287710481	M00380	V$PAX4_04
85	0.0158520618154933	0.944411391329747	0.979519933967356	M00150	V$BRACH_01
86	-0.0155966742824084	0.494019751584786	0.476592977344153	M01469	V$NKX61_02
87	0.0155414588055046	0.781256977983379	0.809720935474111	M01401	V$LBX2_01
88	-0.0153655266083563	0.0357928108483593	0.034548586112368	M01252	V$E2F6_01
89	-0.0153007779673631	0.410544660602804	0.39633244844686	M01255	V$IPF1_05
90	0.0151469613817978	0.570106329550244	0.590340833488859	M01369	V$HOXC4_01
91	-0.0151379886742223	0.679407302179303	0.656133514602214	M00284	V$TCF11MAFG_01
92	-0.0149558003345492	0.22430628743359	0.216713340689039	M01426	V$HOXB9_01
93	-0.0142874845540801	0.340020141534007	0.329016106900338	M01473	V$BRN4_01
94	0.0141487613704506	0.966912324621075	0.998931842859723	M01028	V$NRSF_Q4
95	-0.0140792909780354	0.240880123435075	0.233196310013468	M00472	V$FOXO4_01
96	-0.0138794064682301	0.602068912627714	0.583131895800541	M00162	V$OCT1_06
97	-0.013541373440679	0.197864369555703	0.191790116159463	M00473	V$FOXO1_01
98	-0.0131805003313857	0.514314343647822	0.498939785666013	M01146	V$DMRT1_01
99	-0.0126618323002256	0.333540939311958	0.323956960198458	M01297	V$HOXA13_02
100	0.0125282700982121	0.128473584184711	0.132233687953556	M01181	V$NKX32_01
101	-0.0123598190914914	0.22439790851822	0.218101667353952	M00377	V$PAX4_02
102	0.0122181470985992	0.967706988581904	0.995318381200556	M01242	V$MTF1_01
103	-0.0118865311352809	0.590140960413173	0.574207985588116	M01454	V$HOXC5_01
104	-0.0116721026313857	0.308466907446504	0.300286962416875	M01399	V$HB24_01
105	-0.0116599168010063	0.384223252700088	0.374044891244088	M01294	V$PROP1_01
106	0.0115879356338857	0.174040290325153	0.178746577377462	M00313	V$GEN_INI2_B
107	0.0113008630498892	0.4204035915412	0.431486567783089	M01357	V$PBX1_04
108	0.0106955424156669	0.0739647534296217	0.0758089281443446	M01012	V$HNF3_Q6_01
109	0.0106268943290017	0.203335144448914	0.208371991707925	M00315	V$GEN_INI_B
110	0.0106214278660411	0.620300019311125	0.635657568847531	M01455	V$EN2_01
111	-0.0101735880716393	0.159855138645682	0.156153964026912	M01599	V$FOXP3_01
112	0.0101695687903589	0.137718397296515	0.140981305783988	M00921	V$GR_Q6_01
113	-0.0100866900134732	0.294107852480144	0.287355775282006	M00206	V$HNF1_C
114	0.0100114245504221	0.0258745596032036	0.0264779520401406	M00747	V$IRF1_Q6
115	0.00988622484458057	0.294432778264131	0.301212077728646	M00482	V$PITX2_Q2
116	0.00983639627384103	0.142354188598119	0.145615178368319	M00962	V$AR_Q6
117	0.00978963298218133	0.961721860630283	0.983646658492634	M00105	V$CDPCR3_01
118	0.00972215405910054	0.635742736993604	0.65013502165006	M01370	V$HOXA4_01
119	0.00966816649495938	0.287316081049398	0.293783973573539	M00405	V$MMEF2_Q6
120	0.00960383241080054	0.34448021655082	0.352182780492849	M01363	V$LMX1B_01
121	0.00955969680303967	0.695882956932129	0.711370574759445	M00999	V$AIRE_01
122	-0.00954879786653558	0.912013239763292	0.892179716006127	M00460	V$STAT5A_02
123	0.00953460671363482	0.0616967613285426	0.0630662450199249	M00138	V$OCT1_04
124	0.0093062873771701	0.536910710062176	0.548540066132733	M01412	V$MSX1_02
125	0.00923048775794183	0.642825308006478	0.656634132953256	M01427	V$NKX12_01
126	0.00908137624583716	0.257861510983809	0.263310331235499	M00486	V$PAX2_02
127	0.0089877837222585	0.0554837457102683	0.056643953338359	M00159	V$CEBP_01
128	0.00874094272939746	0.52873339655854	0.539482902592822	M01320	V$PROP1_02
129	0.00842114905262434	0.569758743960437	0.580914407832774	M01481	V$HMX1_02
130	0.0082902866548531	0.0271620553069035	0.0276855347149065	M00190	V$CEBP_Q2
131	0.00822392887508772	0.462696395333449	0.471541634975991	M01477	V$OCTAMER_02
132	-0.00817197078384391	0.424043575009063	0.416139093225872	M01471	V$LHX3_02
133	-0.00800059290635813	0.17052538334534	0.167412715777083	M00026	V$RSRFC4_01
134	0.00791958351836031	0.0501811786157599	0.0511046526707886	M00117	V$CEBPB_02
135	0.00767812025236403	0.660582713759887	0.672365351334639	M01424	V$HOXB4_01
136	0.00748693283344348	0.265830619595539	0.270453082914402	M00963	V$T3R_Q6
137	0.0074693067458681	0.390894360618089	0.397675386388031	M00314	V$GEN_INI3_B
138	0.00744454796721028	0.18473701489598	0.1879310194727	M00750	V$HMGIY_Q6
139	-0.00726610285605378	0.296883432610189	0.291957650392233	M00132	V$HNF1_01
140	0.00717310430425089	0.261385662623591	0.265738736979687	M00155	V$ARP1_01
141	0.00712557499653066	0.00552628406311173	0.00561770306338916	M00632	V$GATA4_Q3
142	0.0069372493307478	0.309074722849293	0.314051402920182	M00252	V$TATA_01
143	0.00691152327147265	0.617413967677287	0.627318324044537	M00133	V$TST1_01
144	0.00682189058431426	0.200512191656632	0.20368670116632	M00462	V$GATA6_01
145	0.00670818292633402	0.0214170133278626	0.0217503920682456	M01279	V$IRF3_Q3
146	0.00666417782073736	0.186702245203951	0.189589254324918	M00109	V$CEBPB_01
147	0.006652457629444	0.140247629572966	0.142412459635254	M01305	V$TEF_01
148	-0.00660704938253626	0.489343599909989	0.481955413958797	M00922	V$SRF_Q5_01
149	0.00659880992331829	0.226201161091722	0.229664378214111	M01069	V$GZF1_01
150	0.00659621349090045	0.1397492916976	0.141888052857459	M01117	V$OTX_Q1
151	0.00659444711307727	0.353094379388643	0.358496773688257	M00794	V$TTF1_Q6
152	0.0065697703866936	0.054550472380828	0.0553819554718149	M00238	V$BARBIE_01
153	-0.00656469030834395	0.216085002670674	0.21284327635257	M00790	V$HNF1_Q6
154	-0.0065340449414274	0.275671644166472	0.27155515500729	M00489	V$NKX62_Q2
155	-0.00649550511338959	0.186437791671181	0.183670092630785	M01082	V$BRCA_01
156	0.00634524099560307	0.196719564564317	0.199614826414795	M00063	V$IRF2_01
157	0.00629419595184763	0.69989832536572	0.71011575842944	M00480	V$LUN1_01
158	0.00626545325716443	0.0830703638978527	0.0842774848520592	M01212	V$STAT1STAT1_Q3
159	0.00624797427683377	0.509282123085675	0.516661863502291	M00704	V$TEF1_Q6
160	0.00619137535626013	0.419878347372213	0.425907075057825	M01150	V$DMRT5_01
161	0.00617951409766315	0.526392998033848	0.533936509251374	M00141	V$LYF1_01
162	0.00614471131743821	0.206312255764399	0.209252058425294	M00414	V$AREB6_03
163	0.00605206872042463	0.195932945168217	0.198682463087965	M00490	V$BACH2_01
164	0.00595270774664425	0.127181857672065	0.128937092256207	M00459	V$STAT5B_01
165	0.00591287072196001	0.25105903174368	0.254500547099301	M00420	V$MEIS1AHOXA9_01
166	-0.00580765300203201	0.626866128152233	0.61853908985185	M00436	V$IPF1_Q4
167	0.00578724588881829	0.32827511544635	0.332678863079132	M01220	V$STAT3STAT3_Q3
168	0.00578012554350327	0.267958344441616	0.271548502045651	M01017	V$PBX1_03
169	0.00574406573026631	0.264101376222417	0.267617635996182	M01373	V$CDX1_01
170	0.00574018818943156	0.281477607051594	0.285222668302836	M01282	V$PPARA_Q6
171	0.00571235131678138	0.186625971484015	0.189096910265496	M01019	V$TBX5_01
172	0.00571061392024264	0.477287571214107	0.483604951914809	M00220	V$SREBP1_01
173	0.00570263730790088	0.225400140637172	0.228379343393089	M00421	V$MEIS1BHOXA9_02
174	0.00569557279423549	0.129274863439797	0.130981409764919	M00062	V$IRF1_01
175	0.00564273993240449	0.249306903946209	0.252567255666708	M00532	V$RP58_01
176	0.00563912109852549	0.126394886981923	0.128046769766384	M00412	V$AREB6_01
177	0.00563601604566499	0.0128936951967011	0.0130621123663581	M01124	V$OCT4_02
178	0.0056241263462482	0.13246713091883	0.134193739858732	M01014	V$SOX_Q6
179	0.00561009303619425	0.338400535953141	0.342800254148078	M00983	V$MAF_Q6_01
180	0.00560691279969283	0.117271743907341	0.118795583827242	M01307	V$POU5F1_01
181	0.00552703300227331	0.245666545403288	0.248812990895275	M00211	V$PADS_C
182	0.00551692663589598	0.170782972362245	0.172966299680331	M00640	V$HOXA4_Q2
183	0.00550899306528091	0.371939436096084	0.376687510883149	M00242	V$PPARA_01
184	-0.00548539966333683	0.203450612765026	0.200897069894612	M00403	V$AMEF2_Q6
185	0.00545323501907718	0.524198380882535	0.530821995401138	M00496	V$STAT1_03
186	-0.0054150526738902	0.328123104123848	0.324057262360264	M01316	V$TST1_02
187	0.00538492917156685	0.0873594641184382	0.0884493998540926	M00078	V$EVI1_01
188	0.00537006417819019	0.0580556353209079	0.058777951504779	M00746	V$ELF1_Q6
189	0.00536265386246026	0.122990465568499	0.124518562790216	M00672	V$TEF_Q6
190	0.00535719476186336	0.244660972443573	0.247697653446914	M00432	V$TITF1_Q3
191	0.00535608360846107	0.173784826879714	0.175941357783713	M01058	V$GFI1B_01
192	0.0053166252591913	0.127268659118477	0.128836255426607	M00011	V$EVI1_06
193	0.00530437334524492	0.126196245445281	0.127747028664523	M00349	V$GATA2_03
194	0.00529340591679872	0.149490987070079	0.151324210030203	M00984	V$PEBP_Q6
195	0.00528774005035904	0.465008986835961	0.470705297729147	M00152	V$SRF_01
196	0.0052803664914417	0.389866968375521	0.394636097206253	M01257	V$SRF_02
197	0.00527427251290846	0.184106683484848	0.186356191856751	M01204	V$SPIB_01
198	0.0052697314960618	0.28755268361616	0.291063104029399	M00751	V$AML1_Q6
199	0.0052351251528826	0.280011001692249	0.283406769950202	M00217	V$USF_C
200	0.00522648015747457	0.459098354030855	0.464656713003397	M00511	V$ERR1_Q2
201	0.00522169374158965	0.415879504006619	0.420909968236458	M00024	V$E2F_01
202	0.00522096710440278	0.189974969415132	0.192272578435479	M00350	V$GATA3_02
203	0.00521620934711675	0.310078327412807	0.313825061138653	M00395	V$HOXA3_01
204	0.00521308274474652	0.217040109612438	0.219661063956604	M01284	V$SOX9_Q4
205	0.00520960717878682	0.147322641852366	0.149100501904715	M01108	V$HOXA7_01
206	0.00519622152326304	0.202132723002502	0.20456571496362	M01066	V$BLIMP1_Q6
207	0.00517053832655445	0.180018212127781	0.182174246740144	M00209	V$NFY_C
208	0.0051441570029882	0.342838064163528	0.346923078220091	M00493	V$STAT5A_03
209	0.00510831159422753	0.489844830395866	0.495640561892886	M00626	V$EFC_Q6
210	0.00510433614755423	0.450707496825621	0.456035989899903	M01264	V$TBX15_02
211	0.0050997929911073	0.299703253975234	0.303243325904769	M00454	V$MRF2_01
212	0.00509471407963447	0.0936649990259353	0.0947702545264336	M00616	V$AFP1_Q6
213	0.00508649617376744	0.260871715214779	0.263945030633575	M01139	V$LMAF_Q2
214	0.00506667655684334	0.369923549765797	0.374264518429151	M00799	V$MYC_Q2
215	0.00506620180233153	0.165765791891402	0.167710832396284	M00123	V$MYCMAX_02
216	0.00502798977686747	0.161537502462228	0.163418550380355	M00351	V$GATA3_03
217	0.0050032130754738	0.410754387693444	0.415513773455083	M00806	V$NF1_Q6_01
218	0.00500188005662627	0.339584747890174	0.343518441030529	M00960	V$PR_Q2
219	-0.0049981762374689	0.532132087345048	0.526043030755055	M01353	V$LHX5_01
220	0.00499204019163846	0.25642878889418	0.259393340086099	M00729	V$CDX2_Q5
221	0.00497561386549439	0.465768284956548	0.471135171983554	M00411	V$HNF4_01_B
222	0.00495953559456186	0.213476179741214	0.21592799786032	M00079	V$EVI1_02
223	0.00493944302957094	0.29232718158754	0.295670940301564	M01217	V$NUR77_Q5
224	0.00493026789506368	0.102860390648452	0.10403475224908	M01172	V$PU1_Q4
225	0.00491565319662185	0.341031146161627	0.344913106676642	M00122	V$USF_02
226	0.00491297493266674	0.264765739503299	0.26777791885534	M01658	V$AML1_Q4
227	0.00490904864972352	0.523301643992685	0.529250342523982	M00979	V$PAX6_Q2
228	0.00490459802717991	0.223085315157842	0.225618953939267	M00457	V$STAT5A_01
229	0.00487159290931333	0.343066614611057	0.346936545494746	M01229	V$GTF2IRD1_01
230	0.00485507798916546	0.565119881361575	0.571472931548642	M00033	V$P300_01
231	0.0048504393059472	0.448788093496437	0.453828500038015	M00001	V$MYOD_01
232	0.0048478515041927	0.449697468894612	0.454745379098754	M00280	V$RFX1_01
233	0.00483106409686129	0.426899352963783	0.43167466500943	M00687	V$ALPHACP1_01
234	0.00483099289520128	0.0733192451430752	0.0741393847921958	M00795	V$OCT_Q6
235	0.00482932723805368	0.326166696503746	0.329813890290479	M01342	V$CDP_03
236	0.0048117556535161	0.227384168127183	0.229917473687056	M00796	V$USF_Q6_01
237	0.00480814362397169	0.40361063834437	0.408103903163408	M01234	V$IPF1_02
238	0.00480494926586056	0.343955001125525	0.347781581266593	M00935	V$NFAT_Q4_01
239	0.00480107146659597	0.404829329926711	0.409329496363575	M01070	V$CMAF_01
240	0.00478512959046451	0.304354022277199	0.307725988376913	M01467	V$HOXB13_01
241	0.00478292787714751	0.121905565948707	0.123255544021771	M00347	V$GATA1_06
242	0.00478242698419962	0.228505422438823	0.231035617216477	M01429	V$HOMEZ_01
243	0.00475644299273137	0.0951802820955517	0.0962284367430891	M00722	V$COREBINDINGFACTOR_Q6
244	0.00475190905725792	0.370218325787001	0.374291376735754	M01655	V$P53_05
245	0.00474765130300714	0.0597528914959011	0.0604096858593887	M00317	V$LDSPOLYA_B
246	0.00472219695106532	0.585068957276724	0.59146527574541	M00646	V$LFA1_Q6
247	-0.00470261437467689	0.229530735685358	0.227058745632026	M00148	V$SRY_01
248	0.00469351629975789	0.166941715834491	0.168755676074854	M00080	V$EVI1_03
249	0.00468401045021305	0.236551811136012	0.239116908956853	M01659	V$CDX2_Q5_01
250	0.00467966032507572	0.161354808010288	0.163102858054087	M00348	V$GATA2_02
251	0.00467602870112893	0.0755642136981343	0.0763822058493185	M00464	V$POU3F2_02
252	0.00466967268699814	0.196270610955724	0.198392361547369	M01591	V$TAL1_01
253	0.00466596432379585	0.0886856554703496	0.0896436114521766	M00269	V$XFD3_01
254	0.00466011212796212	0.767692559659673	0.775974489102913	M01444	V$PMX2A_01
255	0.00465818499292114	0.384859940108198	0.38901011408455	M01408	V$BRN3C_01
256	0.00465500180547163	0.190998654149269	0.19305689137823	M00769	V$AML_Q6
257	0.00463637135078004	0.314399296269835	0.317773689689968	M00985	V$STRA13_01
258	0.00463503577505692	0.425839274026393	0.430408409879913	M01185	V$BCL6_02
259	0.00461799426970166	0.207079504448713	0.209293196667796	M00744	V$POU1F1_Q6
260	0.0046112394648232	0.601413792138073	0.607833487326907	M01020	V$TBX5_02
261	0.00457392929546119	0.0858627093301012	0.086771782197105	M01451	V$HOXB8_01
262	0.0045563490246886	0.48461410811029	0.489725143552987	M01343	V$PITX3_01
263	-0.00455224838564638	0.237666811868758	0.235188613631545	M00293	V$FREAC7_01
264	0.00454661971432913	0.0110930386534268	0.0112097814624206	M01324	V$OCTAMER_01
265	0.00452874715573331	0.405166445411251	0.409413556058822	M00260	V$HLF_01
266	0.00452452955008309	0.0630005804529218	0.0636603585550367	M00930	V$OCT1_Q5_01
267	0.00452054805542157	0.059958910415624	0.0605862789686783	M01211	V$PARP_Q3
268	0.00452036233837139	0.415996332168838	0.420348850207508	M00539	V$ARNT_02
269	0.00451424442946419	0.589913204750838	0.596076996461831	M00528	V$PPARG_03
270	0.00449391878552	0.558714988740602	0.564526380157173	M01003	V$HELIOSA_01
271	0.0044932949390879	0.283086687843577	0.286030761334964	M01462	V$POU6F1_02
272	0.00448931706873146	0.21746323788835	0.219722821470281	M00102	V$CDP_02
273	0.00448241390823403	0.558359868086276	0.564152620625962	M01262	V$TBX18_01
274	0.00448037378655231	0.56316123482334	0.569001126636086	M00731	V$OSF2_Q6
275	0.00447943092383474	0.140426049695654	0.141881937312152	M01232	V$SATB1_01
276	0.00447917527895875	0.554306468932051	0.560052992679451	M00764	V$HNF4_DR1_Q3
277	0.00445948754672604	0.414225388577028	0.418500712352433	M00121	V$USF_01
278	0.00445566127705166	0.14658415797889	0.148095784937863	M00699	V$ICSBP_Q6
279	0.00445397115810062	0.560636161955885	0.56641543329162	M00134	V$HNF4_01
280	0.00444885350439439	0.304877094889024	0.308016265479429	M01295	V$ATF5_01
281	0.0044276202842326	0.185992578883333	0.187898466833391	M00161	V$OCT1_05
282	0.00442005485657948	0.186700346383512	0.188610201284795	M01149	V$DMRT4_01
283	0.00441794307029464	0.062053349748684	0.0626878208978365	M00445	V$XVENT1_01
284	0.00441175295196627	0.633345212409512	0.639811799180338	M00278	V$LMO2COM_02
285	0.0044094811125916	0.466611873102003	0.471373611877775	M00222	V$HAND1E47_01
286	0.00439981213819096	0.0825160681678125	0.0833562825505823	M00210	V$OCT_C
287	0.00439804527397925	0.457294861245816	0.461949356415539	M01352	V$NKX29_01
288	0.00439741075755301	0.393187718278002	0.397189129883832	M00706	V$TFIII_Q6
289	0.00439557775150776	0.598987755535112	0.605081008976324	M00271	V$AML1_01
290	0.00437575905429166	0.526806552496307	0.532141252150333	M00077	V$GATA3_01
291	0.00436387161655372	0.383791430740935	0.38766727832689	M01463	V$DOBOX5_01
292	0.00434718581734783	0.534291668703046	0.53966665920443	M00360	V$PAX3_01
293	0.00434709625353297	0.348026841257113	0.351527929411905	M01384	V$RHOX11_02
294	0.00434297962043412	0.375572736062637	0.379347335210635	M01281	V$NFAT1_Q6
295	0.00433362569159285	0.449256391531681	0.453761756367888	M00671	V$TCF4_Q5
296	0.00433185496923977	0.545720573162427	0.551191081082084	M00340	V$ETS2_B
297	0.00432950866335413	0.13566400853775	0.137023215215883	M00413	V$AREB6_02
298	0.00432303503975823	0.471221116613049	0.475935148316102	M00157	V$RORA2_01
299	0.00432254399124765	0.221806577902697	0.224025247318035	M00250	V$GFI1_01
300	0.00431942285034914	0.538545538550782	0.543928550501703	M00205	V$GRE_C
301	0.00431625760155485	0.542428692841518	0.547846525857528	M00801	V$CREB_Q3
302	0.00431187374323694	0.33211134248623	0.335425118524068	M00100	V$CDXA_01
303	0.00430985083143831	0.437694967035167	0.44206018755454	M01466	V$OBOX3_01
304	0.00429786935350845	0.388612910636066	0.39247779789707	M00311	V$ATATA_B
305	0.00429604203946909	0.320754903665497	0.323943557011189	M00128	V$GATA1_04
306	0.00429356272276571	0.319774252330411	0.322951313251093	M01475	V$EVX1_01
307	0.0042915209749062	0.462576485724439	0.467170136842749	M00212	V$POLY_C
308	0.00427265717293812	0.213158595792313	0.215266033113853	M01029	V$TFE_Q6
309	0.00426433306427804	0.45361976197101	0.458095788830976	M00085	V$ZID_01
310	0.00425909315066939	0.624479015212422	0.630633361984921	M00678	V$TEL2_Q6
311	0.00425841492306134	0.441867809108846	0.44622179457105	M01347	V$RHOX11_01
312	0.00425622455308472	0.328442546901652	0.33167721319424	M01022	V$LEF1_Q2_01
313	0.00424603977080695	0.304890098762147	0.30788558836806	M01447	V$PITX2_01
314	0.00424009094200217	0.420292673728592	0.424416159024715	M00006	V$MEF2_01
315	0.00422301353147087	0.373326961997844	0.376974843612488	M01461	V$EMX2_01
316	0.00419985907673159	0.427330459655885	0.4314830192967	M00073	V$DELTAEF1_01
317	0.00419038499345697	0.555535476034735	0.560921624118587	M00119	V$MAX_01
318	0.00418890057667853	0.339036080678335	0.342322006792417	M00203	V$GATA_C
319	0.00418816085351742	0.326895960216813	0.330063662508194	M01315	V$NKX52_01
320	0.00417701933538162	0.0252048759676065	0.0254484645469558	M00657	V$PTF1BETA_Q6
321	0.00417503619743576	0.184224241891949	0.186003798888276	M01148	V$DMRT3_01
322	0.00416784512160798	0.568718392332639	0.574202552416658	M00619	V$ALX4_01
323	0.00415986181866435	0.520962034644092	0.525976010743357	M01239	V$RELBP52_01
324	0.00415553551085285	0.552174125507039	0.55748294749563	M00066	V$TAL1ALPHAE47_01
325	0.00414654620137384	0.486320790645605	0.490986309582708	M00156	V$RORA1_01
326	0.0041387649941563	0.718922394182992	0.725806372499571	M00749	V$SREBP1_Q6
327	0.00412778921289886	0.482217721311069	0.486822851329069	M00805	V$LEF1_Q2
328	0.00411237172589285	0.424680018912267	0.4287204498667	M00228	V$VBP_01
329	0.00409287295562832	0.345790459154374	0.349064657636505	M01381	V$OBOX5_01
330	0.00408229609357835	0.421920063658787	0.425904740585068	M00775	V$NFY_Q6_01
331	0.0040776596467641	0.196493997465449	0.198347598977809	M00346	V$GATA1_05
